"wincol","name","strikes","takedowns","subattempts","pospass","weightclass","result","round","time"
"1","RASHID MAGOMEDOV","91","1","0","0","Lightweight","KO/TKO","3","4:57"
"0","ELIAS SILVERIO","56","0","0","0","Lightweight","KO/TKO","3","4:57"
"1","ERICK SILVA","2","1","1","1","Welterweight","SUB","1","1:15"
"0","MIKE RHODES","2","0","0","0","Welterweight","SUB","1","1:15"
"1","DANIEL SARAFIAN","24","0","0","0","Middleweight","KO/TKO","2","1:01"
"0","ANTONIO DOS SANTOS","37","0","0","1","Middleweight","KO/TKO","2","1:01"
"1","MARCOS ROGERIO DE LIMA","18","0","0","0","Light Heavyweight","KO/TKO","1","1:59"
"0","IGOR POKRAJAC","3","0","0","0","Light Heavyweight","KO/TKO","1","1:59"
"1","RENATO MOICANO","48","1","1","3","Featherweight","SUB","2","3:30"
"0","TOM NIINIMAKI","33","0","0","0","Featherweight","SUB","2","3:30"
"1","HACRAN DIAS","30","5","0","6","Featherweight","U-DEC","3","5:00"
"0","DARREN ELKINS","37","1","1","4","Featherweight","U-DEC","3","5:00"
"1","LEANDRO ISSA","25","2","1","5","Bantamweight","SUB","2","4:13"
"0","ULKA SASAKI","8","1","1","1","Bantamweight","SUB","2","4:13"
"1","TIM MEANS","43","1","0","0","Welterweight","S-DEC","3","5:00"
"0","MARCIO ALEXANDRE JUNIOR","36","1","0","0","Welterweight","S-DEC","3","5:00"
"1","VITOR MIRANDA","14","0","0","0","Middleweight","KO/TKO","1","4:59"
"0","JAKE COLLIER","15","2","1","3","Middleweight","KO/TKO","1","4:59"
"1","JUNIOR DOS SANTOS","123","1","0","0","Heavyweight","U-DEC","5","5:00"
"0","STIPE MIOCIC","89","1","0","0","Heavyweight","U-DEC","5","5:00"
"1","RAFAEL DOS ANJOS","77","2","0","5","Lightweight","U-DEC","3","5:00"
"0","NATE DIAZ","13","0","0","0","Lightweight","U-DEC","3","5:00"
"1","ALISTAIR OVEREEM","17","1","0","0","Heavyweight","KO/TKO","1","4:13"
"0","STEFAN STRUVE","2","0","0","0","Heavyweight","KO/TKO","1","4:13"
